feature,family,cluster,representative,is_representative
BETA10,trend_reversal,1,BETA10,True
BETA20,trend_reversal,2,BETA20,True
BETA30,trend_reversal,3,BETA30,True
BETA5,trend_reversal,4,BETA5,True
BETA60,trend_reversal,5,BETA60,True
CNTD10,trend_reversal,6,CNTD10,True
CNTP10,trend_reversal,6,CNTD10,False
CNTD20,trend_reversal,7,CNTD20,True
CNTP20,trend_reversal,7,CNTD20,False
CNTD30,trend_reversal,8,CNTD30,True
CNTP30,trend_reversal,8,CNTD30,False
CNTD5,trend_reversal,9,CNTD5,True
CNTP5,trend_reversal,9,CNTD5,False
CNTD60,trend_reversal,10,CNTD60,True
CNTN10,trend_reversal,11,CNTN10,True
CNTN20,trend_reversal,12,CNTN20,True
CNTN30,trend_reversal,13,CNTN30,True
CNTN5,trend_reversal,14,CNTN5,True
CNTN60,trend_reversal,15,CNTN60,True
CNTP60,trend_reversal,16,CNTP60,True
CORD10,price_volume,17,CORD10,True
CORD20,price_volume,18,CORD20,True
CORD30,price_volume,19,CORD30,True
CORD5,price_volume,20,CORD5,True
CORD60,price_volume,21,CORD60,True
CORR10,price_volume,22,CORR10,True
CORR20,price_volume,23,CORR20,True
CORR30,price_volume,24,CORR30,True
CORR5,price_volume,25,CORR5,True
CORR60,price_volume,26,CORR60,True
HIGH0,intraday_price_ratio,27,HIGH0,True
IMAX10,price_position,28,IMAX10,True
IMAX20,price_position,29,IMAX20,True
IMAX30,price_position,30,IMAX30,True
IMAX5,price_position,31,IMAX5,True
IMAX60,price_position,32,IMAX60,True
IMIN10,price_position,33,IMIN10,True
IMIN20,price_position,34,IMIN20,True
IMIN30,price_position,35,IMIN30,True
IMIN5,price_position,36,IMIN5,True
IMIN60,price_position,37,IMIN60,True
IMXD10,price_position,38,IMXD10,True
IMXD20,price_position,39,IMXD20,True
IMXD30,price_position,40,IMXD30,True
IMXD5,price_position,41,IMXD5,True
IMXD60,price_position,42,IMXD60,True
KLEN,candlestick,43,KLEN,True
KLOW,candlestick,44,KLOW,True
KLOW2,candlestick,45,KLOW2,True
KMID,candlestick,46,KMID,True
OPEN0,intraday_price_ratio,46,KMID,False
KMID2,candlestick,47,KMID2,True
KSFT,candlestick,48,KSFT,True
VWAP0,intraday_price_ratio,48,KSFT,False
KSFT2,candlestick,49,KSFT2,True
KUP,candlestick,50,KUP,True
KUP2,candlestick,51,KUP2,True
LOW0,intraday_price_ratio,52,LOW0,True
MA10,trend_reversal,53,MA10,True
QTLD10,price_position,53,MA10,False
MA20,trend_reversal,54,MA20,True
QTLD20,price_position,54,MA20,False
MA30,trend_reversal,55,MA30,True
MA5,trend_reversal,56,MA5,True
QTLD5,price_position,56,MA5,False
MA60,trend_reversal,57,MA60,True
MAX10,price_position,58,MAX10,True
MAX20,price_position,59,MAX20,True
MAX30,price_position,60,MAX30,True
MAX5,price_position,61,MAX5,True
MAX60,price_position,62,MAX60,True
MIN10,price_position,63,MIN10,True
MIN20,price_position,64,MIN20,True
MIN30,price_position,65,MIN30,True
MIN5,price_position,66,MIN5,True
MIN60,price_position,67,MIN60,True
QTLD30,price_position,68,QTLD30,True
QTLD60,price_position,69,QTLD60,True
QTLU10,price_position,70,QTLU10,True
QTLU20,price_position,71,QTLU20,True
QTLU30,price_position,72,QTLU30,True
QTLU5,price_position,73,QTLU5,True
QTLU60,price_position,74,QTLU60,True
RANK10,price_position,75,RANK10,True
RANK20,price_position,76,RANK20,True
RANK30,price_position,76,RANK20,False
RANK5,price_position,77,RANK5,True
RANK60,price_position,78,RANK60,True
RESI10,trend_reversal,79,RESI10,True
RESI20,trend_reversal,80,RESI20,True
RESI30,trend_reversal,81,RESI30,True
RESI5,trend_reversal,82,RESI5,True
RESI60,trend_reversal,83,RESI60,True
ROC10,trend_reversal,84,SUMD10,False
SUMD10,trend_reversal,84,SUMD10,True
SUMN10,trend_reversal,84,SUMD10,False
SUMP10,trend_reversal,84,SUMD10,False
ROC20,trend_reversal,85,SUMP20,False
SUMD20,trend_reversal,85,SUMP20,False
SUMN20,trend_reversal,85,SUMP20,False
SUMP20,trend_reversal,85,SUMP20,True
ROC5,trend_reversal,86,ROC5,True
RSQR10,trend_reversal,87,RSQR10,True
RSQR20,trend_reversal,88,RSQR20,True
RSQR30,trend_reversal,89,RSQR30,True
RSQR5,trend_reversal,90,RSQR5,True
RSQR60,trend_reversal,91,RSQR60,True
RSV10,price_position,92,RSV10,True
RSV20,price_position,93,RSV20,True
RSV30,price_position,94,RSV30,True
RSV5,price_position,95,RSV5,True
RSV60,price_position,96,RSV60,True
STD10,volatility,97,STD10,True
STD20,volatility,98,STD20,True
STD30,volatility,99,STD30,True
STD5,volatility,100,STD5,True
STD60,volatility,101,STD60,True
SUMD30,trend_reversal,102,SUMN30,False
SUMN30,trend_reversal,102,SUMN30,True
SUMP30,trend_reversal,102,SUMN30,False
SUMD5,trend_reversal,103,SUMD5,True
SUMN5,trend_reversal,103,SUMD5,False
SUMP5,trend_reversal,103,SUMD5,False
SUMD60,trend_reversal,104,SUMN60,False
SUMN60,trend_reversal,104,SUMN60,True
SUMP60,trend_reversal,104,SUMN60,False
VMA10,volume_dynamics,105,VMA10,True
VMA20,volume_dynamics,106,VMA20,True
VMA30,volume_dynamics,106,VMA20,False
VMA5,volume_dynamics,107,VMA5,True
VMA60,volume_dynamics,108,VMA60,True
VSTD10,volume_dynamics,109,VSTD10,True
VSTD20,volume_dynamics,110,VSTD20,True
VSTD30,volume_dynamics,111,VSTD30,True
VSTD5,volume_dynamics,112,VSTD5,True
VSTD60,volume_dynamics,113,VSTD60,True
VSUMD10,volume_dynamics,114,VSUMN10,False
VSUMN10,volume_dynamics,114,VSUMN10,True
VSUMP10,volume_dynamics,114,VSUMN10,False
VSUMD20,volume_dynamics,115,VSUMP20,False
VSUMN20,volume_dynamics,115,VSUMP20,False
VSUMP20,volume_dynamics,115,VSUMP20,True
VSUMD30,volume_dynamics,116,VSUMN30,False
VSUMN30,volume_dynamics,116,VSUMN30,True
VSUMP30,volume_dynamics,116,VSUMN30,False
VSUMD5,volume_dynamics,117,VSUMD5,True
VSUMN5,volume_dynamics,117,VSUMD5,False
VSUMP5,volume_dynamics,117,VSUMD5,False
VSUMD60,volume_dynamics,118,VSUMP60,False
VSUMN60,volume_dynamics,118,VSUMP60,False
VSUMP60,volume_dynamics,118,VSUMP60,True
WVMA10,price_volume,119,WVMA10,True
WVMA20,price_volume,120,WVMA20,True
WVMA30,price_volume,121,WVMA30,True
WVMA5,price_volume,122,WVMA5,True
WVMA60,price_volume,123,WVMA60,True
