feature,family,split,coverage,days,pairs,ic,ic_std,icir,positive_ic_ratio,rank_ic,rank_ic_std,rank_icir,positive_rank_ic_ratio
KMID,candlestick,basis_fit,0.9325136612021858,233,56900,-0.04341518179074162,0.20184578326743513,-0.21509085346221363,0.3905579399141631,-0.04694425271633017,0.21313415993724277,-0.2202568219479828,0.38626609442060084
KLEN,candlestick,basis_fit,0.9325136612021858,233,56900,-0.0246263922246879,0.20176832334417702,-0.12205281689673421,0.44635193133047213,-0.044632210868185904,0.21721405675596409,-0.20547570233140738,0.3776824034334764
KMID2,candlestick,basis_fit,0.9325136612021858,233,56900,-0.02998251584539116,0.19513770742593498,-0.15364798654699324,0.45064377682403434,-0.03371244159027121,0.20362859408081382,-0.16555848525326358,0.4248927038626609
KUP,candlestick,basis_fit,0.9325136612021858,233,56900,-0.00677172410824809,0.15721465717432423,-0.0430731092759335,0.4678111587982833,-0.01769287262944514,0.15795177884541683,-0.11201439299243778,0.44206008583690987
KUP2,candlestick,basis_fit,0.9325136612021858,233,56900,0.0013592999359601477,0.1424468815998909,0.00954250398950951,0.5236051502145923,-0.0019812406570415947,0.14495653592863933,-0.013667825630276789,0.5150214592274678
KLOW,candlestick,basis_fit,0.9325136612021858,233,56900,-0.044331677375565225,0.14411523896793246,-0.3076126972625678,0.34334763948497854,-0.05384922580794347,0.1536064762517162,-0.35056611623392947,0.33476394849785407
KLOW2,candlestick,basis_fit,0.9325136612021858,233,56900,-0.029965989292267837,0.1351967208191039,-0.22164730853467202,0.4206008583690987,-0.029768536001500166,0.14695978852918787,-0.20256245806714535,0.41201716738197425
KSFT,candlestick,basis_fit,0.9325136612021858,233,56900,-0.04959905856480813,0.19881163211949468,-0.24947764894861324,0.3648068669527897,-0.04810028988630273,0.2080609110300002,-0.23118369350678836,0.36909871244635195
KSFT2,candlestick,basis_fit,0.9325136612021858,233,56900,-0.04108712878614896,0.182454695032756,-0.2251908550710225,0.41630901287553645,-0.043255403234221244,0.18821665131284154,-0.22981709074360754,0.38626609442060084
OPEN0,intraday_price_ratio,basis_fit,0.9325136612021858,233,56900,0.04245812599689676,0.20266954816933003,0.20949435364321764,0.6094420600858369,0.04694812820505689,0.21313291024662906,0.22027629684561784,0.6137339055793991
HIGH0,intraday_price_ratio,basis_fit,0.9325136612021858,233,56900,0.0215224696788925,0.19003542299154416,0.11325504129748572,0.5107296137339056,0.013921483837614337,0.19535320257683705,0.07126314620892221,0.5064377682403434
LOW0,intraday_price_ratio,basis_fit,0.9325136612021858,233,56900,0.0550619419620578,0.18923333701857709,0.2909737936749081,0.6566523605150214,0.06661783138678357,0.20488138093954755,0.325153174394309,0.6995708154506438
VWAP0,intraday_price_ratio,basis_fit,0.9325136612021858,233,56900,0.05205833674859534,0.18949260793522335,0.27472489463225447,0.6351931330472103,0.05208836603718823,0.20282757507386634,0.25681106732266823,0.6351931330472103
ROC5,trend_reversal,basis_fit,0.9178142076502732,232,56169,0.036739396306958584,0.20718420988172798,0.1773272023381098,0.5689655172413793,0.05527684084657001,0.209693971921535,0.26360720024538403,0.603448275862069
ROC10,trend_reversal,basis_fit,0.910724043715847,233,55758,0.052993930186252085,0.21352976573611684,0.24818052885302533,0.5708154506437768,0.06623433121882204,0.21873552041069544,0.30280555757227345,0.6051502145922747
