,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
BETA10,-0.12186493936950919,0.03491206365692271,-0.055557325550747064,0.11432595278644664,-0.020557411081835824,0.09454136836031034,-0.08712744697880402,-0.02957758766859415,-0.05057749447891796,0.09621218743345478,0.009615564225940385,-0.06634233903017395,-0.09385933007483462,0.018753930493739766,-0.08905090897846266,0.0017141114517008618,-0.09385283061816962,-0.03490567258830227,-0.014001768112277841,-0.050078748172086004
BETA20,-0.09204530722205506,0.14724121704916698,-0.060101525710387835,-0.009994147618396745,0.004580592622525382,-0.022636092248755756,-0.07095620913144346,-0.0900942274605683,-0.03802647710095676,-0.04446230953714554,0.0996326737323762,-0.10456542585118396,-0.051160993446788094,-0.041504661254004725,-0.005944655570693767,-0.012413565578988123,-0.06723377695838696,-0.0321314298033254,-0.058838635800002495,0.08916763413275144
BETA30,-0.06864685398997894,0.17339737214539114,-0.03226142942639004,-0.090281261902593,0.004872356491749691,-0.05558846115115085,-0.03557681352902986,0.014942595251581661,0.006941643880920861,-0.0732508569510692,0.12983901179615143,-0.11824673156604204,0.02282019498767915,-0.09109486635757635,0.014103149358810102,-0.045598281422718226,0.023610710432094686,0.047553398115734065,-0.007203941354708726,-0.05942475816706098
BETA5,-0.12745792396950958,-0.08686135090352909,0.010012436678147885,0.050988606307666905,-0.04766274299851936,0.08216801545099688,-0.0459940000276059,0.12046458097241941,0.02249709175111579,0.010924840097490285,0.06023324475800014,0.01878540192000372,0.13816386992925317,-0.09975080363258626,-0.03225147430428635,-0.009324251679158672,-0.07055741412989222,-0.10844843881095804,0.02341657323664957,0.05167035282099691
BETA60,-0.018537214626561313,0.13093685124762888,0.041431769370260996,-0.13172807509501722,-0.0149035304061109,-0.012398238538214701,0.0030259805004704543,0.24650306687828666,0.0509889670437724,0.07353748767525149,0.013855617577084034,-0.1605422231354557,-0.12031216190150085,-0.013706829347794078,-0.05241093804766414,-0.04771310236410979,0.10158956457248343,0.08363470892098399,0.0526987143495531,0.007722198397747182
CNTD10,-0.10662530787153243,0.003861675794171071,-0.022778254986465574,0.041953217773350454,0.18683396791435622,0.1590527372208601,0.14937202433824398,-0.09201329112026542,0.03996879870539835,0.048985130185757814,-0.00451841171135518,-0.010939810442504513,-0.12108203640256321,0.07258616647271601,0.0466543365721758,0.02575503130286485,-0.12252837865820393,0.03506550491927646,-0.11614712689387083,-0.16541925820493925
CNTD20,-0.09655055088269934,0.07823590935759596,-0.016114553900176742,-0.02920533243831852,0.2210397009487257,0.0833021977052677,0.19491769442007756,-0.11232726083607081,0.06404361870961423,-0.02975227963288246,0.05643605404388878,0.002461566108255042,-0.0015182271592831809,-0.027517855156595952,0.07189390581126265,-0.02169956257049504,-0.05299883045876742,-0.06604786991103606,-0.016084111456913287,0.07921672002664361
CNTD30,-0.08378498403875546,0.09692070894790944,0.006366398931364037,-0.062472064177442055,0.21512682172239772,0.07338491101487188,0.23130670404289994,-0.033487856349279504,0.07568923294486898,0.0042216447089894376,0.05708616728560783,0.0022464439296141156,0.016053228445414985,-0.033103886899691154,0.03694152823285343,-0.04104437359121922,0.036826402463867064,-0.05176223898826582,0.09318769704507185,0.006581661864157318
CNTD5,-0.1041945961226047,-0.06828007017323537,0.010710906324227144,0.036670818415454665,0.13608745303763947,0.17045705535205907,0.12656545823748316,0.046888058095973045,0.06675534360812044,0.016000103764654827,0.035014023393623306,0.02850075752172776,0.06498067798602966,0.014697655189469647,0.09091081827993402,-0.004402484344108833,-0.052244665618027486,0.044886356621303594,-0.22824486817504544,-0.20953377091683315
CNTD60,-0.058082377328173264,0.0848960288766751,0.044805256210620245,-0.07531743928454983,0.18198498889651246,0.08368341249079592,0.24792219127748094,0.087064680031052,0.05541408200156067,0.11008713802956832,0.01184368256286233,0.003802215208398803,-0.09462534373403464,0.007664383724276282,0.007981423347460936,-0.05954041094070536,0.062021179599527215,-0.10097433958054669,0.16653872510632625,0.2537020890938092
CNTN10,0.09879216185458138,-0.00235946029992147,0.021593593234264116,-0.041200069165673404,-0.17603320765996083,-0.15800645871923719,-0.14380053544095206,0.101593300234629,-0.06823136597604032,-0.0414691606506144,0.016630814809578592,0.018493229992104065,0.10866223796012968,-0.06528744711625008,-0.0316215420403729,-0.03263384978764955,0.09350900833558584,-0.025729584327244898,0.11924391157817125,0.16259034016662186
CNTN20,0.08172175150732125,-0.07033246334979427,-0.0007563118679373383,0.020938422835282442,-0.1953745753713933,-0.0909461882328164,-0.16639015654479222,0.13943558559145647,-0.13909557967897623,0.06553901049898786,0.03183751667509227,0.03243304332825023,-0.04115954460925231,0.03527396041973986,0.018937166526149574,-0.02016711006887755,-0.002236915929974298,0.0749181827376664,0.02146562506358521,-0.04496956174546998
CNTN30,0.06496553909854634,-0.08201362742528052,-0.03215409101926258,0.045667136876889905,-0.17612808710468053,-0.08746416926386333,-0.17496179552846727,0.0793326505764908,-0.18189432630509278,0.06806031468202894,0.10699492986317624,0.06137339261306374,-0.08970717863038333,0.05057294151130105,0.11036984150359216,-0.03321268278045619,-0.06935040659085448,0.03875288174337074,-0.07654502500350567,0.026353538133861938
CNTN5,0.09977725889055566,0.06790220363099586,-0.005841688002346533,-0.03563479065185987,-0.131395371122636,-0.17035577797412432,-0.12696044258334316,-0.04188368706280589,-0.0752637064889646,-0.016790999261574763,-0.03644570692606087,-0.02663444564842339,-0.06249026190987195,-0.014494727975552457,-0.09657552371904754,0.004596654338154113,0.04604825677468924,-0.04428349151364864,0.22457480388739454,0.20532444170730277
CNTN60,0.03686411029723395,-0.06183008556741222,-0.07758771691435229,0.03920056569177274,-0.11800107449034225,-0.0977200513948463,-0.14082257290416855,0.004211873894215096,-0.1848882481394942,0.031921153205303476,0.24059537026845973,0.10143122114114582,-0.045563415558374315,0.04639543335251246,0.22326833238679356,-0.07096833647516879,-0.0257824836683645,-0.03836324068743976,-0.11935975012175243,-0.1944955912885635
CNTP60,-0.03794019643636662,0.04863847990485804,-0.011932408739380123,-0.057153724930345234,0.11346562149960107,0.01553142540464672,0.17092914426616235,0.11099655958872584,-0.0934657445613176,0.15933240960902387,0.21630894348455154,0.09346502151965326,-0.15141399491392582,0.05457408016790542,0.20893324423345583,-0.13744071713507658,0.04500545313611087,-0.15071154292877742,0.09993745598348731,0.13733304494492796
CORD10,-0.05029562407662591,0.014042842724799009,-0.10047470847363611,0.10742745884213395,-0.1549281929014143,-0.07784761998081235,0.1896734220666129,-0.006781493919923665,-0.14136126226336637,-0.05702490651820878,-0.17691278019277104,-0.1185972483463388,-0.01979971906057027,0.07027414956845779,0.019289714412697945,0.02083622976453762,0.043249995539123884,-0.07872174119532285,-0.037558895965504616,0.020680253125978487
