field,year,available_cells,eligible_cells,coverage
roeAvg,2008,59942,73800,0.8122222222222222
roeAvg,2009,59114,73200,0.807568306010929
roeAvg,2010,58666,72600,0.8080716253443526
roeAvg,2011,58062,73200,0.7931967213114755
roeAvg,2012,57087,72900,0.7830864197530865
roeAvg,2013,54470,71400,0.7628851540616246
roeAvg,2014,54947,73500,0.747578231292517
roeAvg,2015,52179,73200,0.712827868852459
roeAvg,2016,52781,73200,0.721051912568306
roeAvg,2017,50508,73200,0.69
roeAvg,2018,50647,72900,0.6947462277091907
roeAvg,2019,50412,73200,0.6886885245901639
roeAvg,2020,29021,42000,0.6909761904761905
npMargin,2008,68141,73800,0.923319783197832
npMargin,2009,71053,73200,0.9706693989071038
npMargin,2010,62396,72600,0.8594490358126722
npMargin,2011,58306,73200,0.7965300546448087
npMargin,2012,57409,72900,0.7875034293552812
npMargin,2013,54561,71400,0.7641596638655462
npMargin,2014,55136,73500,0.7501496598639456
npMargin,2015,52559,73200,0.7180191256830601
npMargin,2016,53095,73200,0.7253415300546449
npMargin,2017,50508,73200,0.69
npMargin,2018,50675,72900,0.6951303155006858
npMargin,2019,50412,73200,0.6886885245901639
npMargin,2020,29021,42000,0.6909761904761905
YOYNI,2008,66726,73800,0.9041463414634147
YOYNI,2009,70826,73200,0.9675683060109289
YOYNI,2010,62065,72600,0.8548898071625345
YOYNI,2011,57917,73200,0.7912158469945355
YOYNI,2012,57166,72900,0.7841700960219479
YOYNI,2013,54323,71400,0.7608263305322129
YOYNI,2014,54891,73500,0.7468163265306123
YOYNI,2015,52315,73200,0.7146857923497267
YOYNI,2016,52851,73200,0.7220081967213114
YOYNI,2017,50264,73200,0.6866666666666666
YOYNI,2018,50432,72900,0.6917969821673525
YOYNI,2019,50168,73200,0.6853551912568306
YOYNI,2020,28914,42000,0.6884285714285714
YOYAsset,2008,69886,73800,0.9469647696476965
YOYAsset,2009,71788,73200,0.9807103825136612
YOYAsset,2010,70743,72600,0.9744214876033058
YOYAsset,2011,70464,73200,0.9626229508196721
YOYAsset,2012,71129,72900,0.9757064471879286
YOYAsset,2013,70349,71400,0.9852801120448179
YOYAsset,2014,72422,73500,0.9853333333333333
YOYAsset,2015,71504,73200,0.9768306010928962
YOYAsset,2016,71651,73200,0.9788387978142077
YOYAsset,2017,72243,73200,0.9869262295081968
YOYAsset,2018,71451,72900,0.9801234567901235
YOYAsset,2019,71659,73200,0.978948087431694
YOYAsset,2020,41012,42000,0.9764761904761905
YOYEquity,2008,69886,73800,0.9469647696476965
YOYEquity,2009,71788,73200,0.9807103825136612
YOYEquity,2010,70743,72600,0.9744214876033058
YOYEquity,2011,70464,73200,0.9626229508196721
YOYEquity,2012,71129,72900,0.9757064471879286
YOYEquity,2013,70349,71400,0.9852801120448179
YOYEquity,2014,72422,73500,0.9853333333333333
YOYEquity,2015,71504,73200,0.9768306010928962
YOYEquity,2016,71651,73200,0.9788387978142077
YOYEquity,2017,72243,73200,0.9869262295081968
YOYEquity,2018,71451,72900,0.9801234567901235
YOYEquity,2019,71659,73200,0.978948087431694
YOYEquity,2020,41012,42000,0.9764761904761905
