code,year,quarter,method,rows,pubDate
sh.600000,2008,1,query_profit_data,1,2008-04-26
sh.600000,2008,1,query_growth_data,1,2008-04-26
sh.600000,2008,1,query_cash_flow_data,1,2008-04-26
sh.600000,2008,4,query_profit_data,1,2009-04-10
sh.600000,2008,4,query_growth_data,1,2009-04-10
sh.600000,2008,4,query_cash_flow_data,1,2009-04-10
sh.600000,2012,1,query_profit_data,1,2012-04-28
sh.600000,2012,1,query_growth_data,1,2012-04-28
sh.600000,2012,1,query_cash_flow_data,1,2012-04-28
sh.600000,2012,4,query_profit_data,1,2013-03-14
sh.600000,2012,4,query_growth_data,1,2013-03-14
sh.600000,2012,4,query_cash_flow_data,1,2013-03-14
sh.600000,2014,1,query_profit_data,1,2014-04-30
sh.600000,2014,1,query_growth_data,1,2014-04-30
sh.600000,2014,1,query_cash_flow_data,1,2014-04-30
sh.600000,2014,4,query_profit_data,1,2015-03-19
sh.600000,2014,4,query_growth_data,1,2015-03-19
sh.600000,2014,4,query_cash_flow_data,1,2015-03-19
sh.600000,2016,1,query_profit_data,1,2016-04-30
sh.600000,2016,1,query_growth_data,1,2016-04-30
sh.600000,2016,1,query_cash_flow_data,1,2016-04-30
sh.600000,2016,4,query_profit_data,1,2017-04-01
sh.600000,2016,4,query_growth_data,1,2017-04-01
sh.600000,2016,4,query_cash_flow_data,1,2017-04-01
sh.600000,2019,1,query_profit_data,1,2019-04-30
sh.600000,2019,1,query_growth_data,1,2019-04-30
sh.600000,2019,1,query_cash_flow_data,1,2019-04-30
sh.600000,2019,4,query_profit_data,1,2020-04-25
sh.600000,2019,4,query_growth_data,1,2020-04-25
sh.600000,2019,4,query_cash_flow_data,1,2020-04-25
sh.600000,2020,1,query_profit_data,1,2020-04-25
sh.600000,2020,1,query_growth_data,1,2020-04-25
sh.600000,2020,1,query_cash_flow_data,1,2020-04-25
sh.600519,2008,1,query_profit_data,1,2008-04-22
sh.600519,2008,1,query_growth_data,1,2008-04-22
sh.600519,2008,1,query_cash_flow_data,1,2008-04-22
sh.600519,2008,4,query_profit_data,1,2009-03-25
sh.600519,2008,4,query_growth_data,1,2009-03-25
sh.600519,2008,4,query_cash_flow_data,1,2009-03-25
sh.600519,2012,1,query_profit_data,1,2012-04-26
sh.600519,2012,1,query_growth_data,1,2012-04-26
sh.600519,2012,1,query_cash_flow_data,1,2012-04-26
sh.600519,2012,4,query_profit_data,1,2013-03-29
sh.600519,2012,4,query_growth_data,1,2013-03-29
sh.600519,2012,4,query_cash_flow_data,1,2013-03-29
sh.600519,2014,1,query_profit_data,1,2014-04-25
sh.600519,2014,1,query_growth_data,1,2014-04-25
sh.600519,2014,1,query_cash_flow_data,1,2014-04-25
sh.600519,2014,4,query_profit_data,1,2015-04-21
sh.600519,2014,4,query_growth_data,1,2015-04-21
sh.600519,2014,4,query_cash_flow_data,1,2015-04-21
sh.600519,2016,1,query_profit_data,1,2016-04-21
sh.600519,2016,1,query_growth_data,1,2016-04-21
sh.600519,2016,1,query_cash_flow_data,1,2016-04-21
sh.600519,2016,4,query_profit_data,1,2017-04-15
sh.600519,2016,4,query_growth_data,1,2017-04-15
sh.600519,2016,4,query_cash_flow_data,1,2017-04-15
sh.600519,2019,1,query_profit_data,1,2019-04-25
sh.600519,2019,1,query_growth_data,1,2019-04-25
sh.600519,2019,1,query_cash_flow_data,1,2019-04-25
sh.600519,2019,4,query_profit_data,1,2020-04-22
sh.600519,2019,4,query_growth_data,1,2020-04-22
sh.600519,2019,4,query_cash_flow_data,1,2020-04-22
sh.600519,2020,1,query_profit_data,1,2020-04-28
sh.600519,2020,1,query_growth_data,1,2020-04-28
sh.600519,2020,1,query_cash_flow_data,1,2020-04-28
sz.000002,2008,1,query_profit_data,1,2008-04-25
sz.000002,2008,1,query_growth_data,1,2008-04-25
sz.000002,2008,1,query_cash_flow_data,1,2008-04-25
sz.000002,2008,4,query_profit_data,1,2009-03-10
sz.000002,2008,4,query_growth_data,1,2009-03-10
sz.000002,2008,4,query_cash_flow_data,1,2009-03-10
sz.000002,2012,1,query_profit_data,1,2012-04-24
sz.000002,2012,1,query_growth_data,1,2012-04-24
sz.000002,2012,1,query_cash_flow_data,1,2012-04-24
sz.000002,2012,4,query_profit_data,1,2013-02-28
sz.000002,2012,4,query_growth_data,1,2013-02-28
sz.000002,2012,4,query_cash_flow_data,1,2013-02-28
sz.000002,2014,1,query_profit_data,1,2014-04-29
sz.000002,2014,1,query_growth_data,1,2014-04-29
sz.000002,2014,1,query_cash_flow_data,1,2014-04-29
sz.000002,2014,4,query_profit_data,1,2015-03-31
sz.000002,2014,4,query_growth_data,1,2015-03-31
sz.000002,2014,4,query_cash_flow_data,1,2015-03-31
sz.000002,2016,1,query_profit_data,1,2016-04-28
sz.000002,2016,1,query_growth_data,1,2016-04-28
sz.000002,2016,1,query_cash_flow_data,1,2016-04-28
sz.000002,2016,4,query_profit_data,1,2017-03-27
sz.000002,2016,4,query_growth_data,1,2017-03-27
sz.000002,2016,4,query_cash_flow_data,1,2017-03-27
sz.000002,2019,1,query_profit_data,1,2019-04-30
sz.000002,2019,1,query_growth_data,1,2019-04-30
sz.000002,2019,1,query_cash_flow_data,1,2019-04-30
sz.000002,2019,4,query_profit_data,1,2020-03-18
sz.000002,2019,4,query_growth_data,1,2020-03-18
sz.000002,2019,4,query_cash_flow_data,1,2020-03-18
sz.000002,2020,1,query_profit_data,1,2020-04-28
sz.000002,2020,1,query_growth_data,1,2020-04-28
sz.000002,2020,1,query_cash_flow_data,1,2020-04-28
