candidate,view,variant,year,days,pairs,ic,ic_std,icir,positive_ic_ratio,rank_ic,rank_ic_std,rank_icir,positive_rank_ic_ratio,status
ROE,nonfinancial,refit,all,470,82688,0.004092928202194932,0.11730665948362248,0.034890842687122614,0.5191489361702127,0.009919384564528918,0.11751287952863723,0.08441104161788172,0.5127659574468085,DIAGNOSTIC_ONLY
ROE,nonfinancial,refit,2015,232,39170,0.0024507261519925707,0.1295152266834913,0.018922301375278783,0.5043103448275862,0.007885725248411544,0.12760814345402977,0.061796410753772464,0.4827586206896552,DIAGNOSTIC_ONLY
ROE,nonfinancial,refit,2016,238,43518,0.00569373020071152,0.10429116578303735,0.05459455897306297,0.5336134453781513,0.011901775158391234,0.10699361933348515,0.11123817693553252,0.542016806722689,DIAGNOSTIC_ONLY
ROE,nonfinancial,original_matched,all,470,82688,0.002513927787838025,0.12135645566872408,0.02071523738877546,0.5042553191489362,0.007591806452780326,0.12342492777998972,0.061509506947519145,0.5,DIAGNOSTIC_ONLY
ROE,nonfinancial,original_matched,2015,232,39170,-0.0008197722403270247,0.13526591629737908,-0.006060449393066424,0.4870689655172414,0.003480438125886605,0.13559184106358918,0.025668492282322257,0.46551724137931033,DIAGNOSTIC_ONLY
ROE,nonfinancial,original_matched,2016,238,43518,0.005763584958150174,0.10624939559972868,0.05424581406432859,0.5210084033613446,0.01159952683865992,0.11042491712406988,0.10504446949801254,0.5336134453781513,DIAGNOSTIC_ONLY
ROE,nonfinancial_same_fiscal_period,refit,all,469,74772,0.004374757470940744,0.12634105672027024,0.0346265702100848,0.5138592750533049,0.009393158274149832,0.1242423871335088,0.07560349161720549,0.5309168443496801,DIAGNOSTIC_ONLY
ROE,nonfinancial_same_fiscal_period,refit,2015,231,35184,0.00026829323115970706,0.13717952183946525,0.0019557819386021628,0.5021645021645021,0.0028576327634465305,0.1348850865857734,0.02118568357539929,0.49783549783549785,DIAGNOSTIC_ONLY
ROE,nonfinancial_same_fiscal_period,refit,2016,238,39588,0.008360443350728223,0.11500097716142373,0.07269888967111034,0.5252100840336135,0.015736462446303032,0.1128844626159548,0.13940326313852586,0.5630252100840336,DIAGNOSTIC_ONLY
ROE,nonfinancial_same_fiscal_period,original_matched,all,469,74772,0.0014483697853859326,0.13528598323672636,0.010705985577615559,0.511727078891258,0.005612490459349586,0.13371227604816088,0.04197438429159685,0.5202558635394456,DIAGNOSTIC_ONLY
ROE,nonfinancial_same_fiscal_period,original_matched,2015,231,35184,-0.0007523192646137077,0.14671129012177914,-0.005127889366859481,0.49783549783549785,0.0008686399953106218,0.14694703148295518,0.0059112456137732725,0.4935064935064935,DIAGNOSTIC_ONLY
ROE,nonfinancial_same_fiscal_period,original_matched,2016,238,39588,0.0035843326868561717,0.12346447466857087,0.02903128771638956,0.5252100840336135,0.010216815909740346,0.11960953234101641,0.08541807421010042,0.5462184873949579,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial,refit,all,470,82688,-0.004400744434681703,0.0849847257169932,-0.05178276916885722,0.46595744680851064,-0.0008241959974236644,0.09034580876539593,-0.00912268104836919,0.5063829787234042,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial,refit,2015,232,39170,-0.010272521918697057,0.09362871409755875,-0.10971550787286632,0.4396551724137931,-0.0037688971031209634,0.10362685743503457,-0.03636988707762125,0.521551724137931,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial,refit,2016,238,43518,0.0013230050455349455,0.07537494510220509,0.017552318528935698,0.49159663865546216,0.002046268945945131,0.07529343723015339,0.027177255033399444,0.49159663865546216,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial,original_matched,all,470,82688,-0.004471133753066157,0.08344155968954606,-0.05358401460497054,0.4595744680851064,-0.0025026913605541955,0.08934848856074629,-0.028010449878541198,0.5042553191489362,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial,original_matched,2015,232,39170,-0.010201012427069884,0.09095662696402874,-0.11215249254025382,0.43103448275862066,-0.007246304070359797,0.10098682765619676,-0.07175494308059045,0.5,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial,original_matched,2016,238,43518,0.0011142941980635257,0.07517293391480424,0.01482307713739614,0.48739495798319327,0.0021213344742142897,0.07625110723388323,0.02782037600723056,0.5084033613445378,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial_same_fiscal_period,refit,all,469,74772,-0.002398811738063268,0.09597818496272933,-0.02499330174867117,0.48187633262260127,0.0036732847916130106,0.09408041752637851,0.03904409534091497,0.5266524520255863,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial_same_fiscal_period,refit,2015,231,35184,-0.005654924162418897,0.10651554046596251,-0.053090132554187736,0.47619047619047616,0.005831289671914971,0.10854012591414418,0.053724736569105806,0.5541125541125541,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial_same_fiscal_period,refit,2016,238,39588,0.0007615326738113114,0.08461436255131605,0.009000040310526064,0.48739495798319327,0.0015787506430846397,0.07769316584470475,0.020320328383068985,0.5,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial_same_fiscal_period,original_matched,all,469,74772,-0.0016143227270120411,0.09501233556729216,-0.01699066460553117,0.48187633262260127,0.0006735276958397833,0.09545333469920635,0.007056093932833374,0.5010660980810234,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial_same_fiscal_period,original_matched,2015,231,35184,-0.004738213497954106,0.10137478910060717,-0.0467395645405661,0.48917748917748916,-0.0013166591250771255,0.1049933816029756,-0.012540401166008451,0.5108225108225108,DIAGNOSTIC_ONLY
EARNINGS_GROWTH,nonfinancial_same_fiscal_period,original_matched,2016,238,39588,0.001417688903608198,0.08851040431239005,0.016017200628804993,0.47478991596638653,0.002605179610259135,0.08536032736040433,0.03051979404038212,0.49159663865546216,DIAGNOSTIC_ONLY
LOW_ASSET_GROWTH,nonfinancial,refit,all,470,81890,0.014580803137808261,0.08819534225253323,0.16532395890089602,0.5914893617021276,0.0044394500123078155,0.09278971239850792,0.0478442048967834,0.5085106382978724,DIAGNOSTIC_ONLY
LOW_ASSET_GROWTH,nonfinancial,refit,2015,232,38897,0.004114914971624637,0.09859310706465234,0.04173633526861351,0.5474137931034483,0.007319158810806054,0.09433541976255246,0.07758653991500529,0.521551724137931,DIAGNOSTIC_ONLY
LOW_ASSET_GROWTH,nonfinancial,refit,2016,238,42993,0.024782845383835996,0.07554125198094527,0.32807035538790497,0.634453781512605,0.001632338914612052,0.09136908947317186,0.01786532977425966,0.4957983193277311,DIAGNOSTIC_ONLY
