field,year,available_cells,member_cells,coverage
roeAvg,2008,59942,73800,0.8122222222222222
roeAvg,2009,59114,73200,0.807568306010929
roeAvg,2010,58666,72600,0.8080716253443526
roeAvg,2011,58062,73200,0.7931967213114755
roeAvg,2012,57087,72900,0.7830864197530865
roeAvg,2013,54470,71400,0.7628851540616246
roeAvg,2014,54947,73500,0.747578231292517
roeAvg,2015,52179,73200,0.712827868852459
roeAvg,2016,52781,73200,0.721051912568306
roeAvg,2017,50508,73200,0.69
roeAvg,2018,50647,72900,0.6947462277091907
roeAvg,2019,50412,73200,0.6886885245901639
roeAvg,2020,29021,42000,0.6909761904761905
npMargin,2008,59942,73800,0.8122222222222222
npMargin,2009,59167,73200,0.808292349726776
npMargin,2010,58666,72600,0.8080716253443526
npMargin,2011,58062,73200,0.7931967213114755
npMargin,2012,57087,72900,0.7830864197530865
npMargin,2013,54470,71400,0.7628851540616246
npMargin,2014,54947,73500,0.747578231292517
npMargin,2015,52179,73200,0.712827868852459
npMargin,2016,52781,73200,0.721051912568306
npMargin,2017,50508,73200,0.69
npMargin,2018,50675,72900,0.6951303155006858
npMargin,2019,50412,73200,0.6886885245901639
npMargin,2020,29021,42000,0.6909761904761905
YOYNI,2008,58534,73800,0.7931436314363144
YOYNI,2009,58715,73200,0.8021174863387979
YOYNI,2010,58260,72600,0.8024793388429752
YOYNI,2011,57673,73200,0.7878825136612022
YOYNI,2012,56844,72900,0.779753086419753
YOYNI,2013,54232,71400,0.7595518207282913
YOYNI,2014,54702,73500,0.7442448979591837
YOYNI,2015,51935,73200,0.7094945355191257
YOYNI,2016,52537,73200,0.7177185792349727
YOYNI,2017,50264,73200,0.6866666666666666
YOYNI,2018,50432,72900,0.6917969821673525
YOYNI,2019,50168,73200,0.6853551912568306
YOYNI,2020,28914,42000,0.6884285714285714
YOYAsset,2008,57637,73800,0.7809891598915989
YOYAsset,2009,58180,73200,0.7948087431693989
YOYAsset,2010,57359,72600,0.790068870523416
YOYAsset,2011,56478,73200,0.7715573770491804
YOYAsset,2012,56062,72900,0.7690260631001372
YOYAsset,2013,54047,71400,0.7569607843137255
YOYAsset,2014,54513,73500,0.7416734693877551
YOYAsset,2015,51397,73200,0.7021448087431694
YOYAsset,2016,52126,73200,0.712103825136612
YOYAsset,2017,49851,73200,0.6810245901639345
YOYAsset,2018,50188,72900,0.6884499314128943
YOYAsset,2019,49982,73200,0.6828142076502732
YOYAsset,2020,28732,42000,0.6840952380952381
YOYEquity,2008,57637,73800,0.7809891598915989
YOYEquity,2009,58180,73200,0.7948087431693989
YOYEquity,2010,57359,72600,0.790068870523416
YOYEquity,2011,56478,73200,0.7715573770491804
YOYEquity,2012,56062,72900,0.7690260631001372
YOYEquity,2013,54047,71400,0.7569607843137255
YOYEquity,2014,54513,73500,0.7416734693877551
YOYEquity,2015,51397,73200,0.7021448087431694
YOYEquity,2016,52126,73200,0.712103825136612
YOYEquity,2017,49851,73200,0.6810245901639345
YOYEquity,2018,50188,72900,0.6884499314128943
YOYEquity,2019,49982,73200,0.6828142076502732
YOYEquity,2020,28732,42000,0.6840952380952381
