method,year,missing_requests
query_growth_data,2007,286
query_growth_data,2008,312
query_growth_data,2009,322
query_growth_data,2010,353
query_growth_data,2011,365
query_growth_data,2012,380
query_growth_data,2013,245
query_growth_data,2014,41
query_growth_data,2015,38
query_growth_data,2016,201
query_growth_data,2017,522
query_growth_data,2018,485
query_growth_data,2019,447
query_growth_data,2020,199
query_profit_data,2007,284
query_profit_data,2008,308
query_profit_data,2009,318
query_profit_data,2010,349
query_profit_data,2011,361
query_profit_data,2012,376
query_profit_data,2013,243
query_profit_data,2014,41
query_profit_data,2015,38
query_profit_data,2016,200
query_profit_data,2017,518
query_profit_data,2018,481
query_profit_data,2019,443
query_profit_data,2020,198
