year,industry_coverage,common_coverage,median_daily_pairs,min_daily_pairs
2008,1.0,0.45485018370244595,128.0,112
2009,1.0,0.5520850441196231,152.0,139
2010,1.0,0.5513394216133942,149.0,138
2011,1.0,0.4925087321527054,133.0,119
2012,1.0,0.4370477568740955,116.0,98
2013,0.9999159663865547,0.748349808416782,195.0,182
2014,1.0,0.7570456602478075,198.0,188
2015,0.999931693989071,0.7252451755773489,187.0,106
2016,0.9997267759562841,0.7439493327301515,190.0,170
2017,1.0,0.7028920543214796,172.0,156
2018,1.0,0.7393217355987274,183.0,166
2019,1.0,0.7477520033741037,183.0,164
2020,1.0,0.7053888254044626,166.0,165
