field,year,eligible_cells,available_cells,coverage
roeAvg,2015,73200,73137,0.9991393442622951
roeAvg,2016,73200,73143,0.9992213114754098
npMargin,2015,73200,73137,0.9991393442622951
npMargin,2016,73200,73143,0.9992213114754098
YOYNI,2015,73200,73137,0.9991393442622951
YOYNI,2016,73200,73143,0.9992213114754098
YOYAsset,2015,73200,72548,0.9910928961748634
YOYAsset,2016,73200,72652,0.9925136612021858
YOYEquity,2015,73200,72548,0.9910928961748634
YOYEquity,2016,73200,72652,0.9925136612021858
