symbol,method,requests,empty_requests,returned_rows,accepted_rows,quarantined_rows,eligible_days,roeAvg_days,npMargin_days,YOYNI_days,YOYAsset_days,YOYEquity_days
SH600000,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600000,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600005,query_profit_data,13,0,13,13,0,380,380.0,380.0,,,
SH600005,query_growth_data,13,0,13,13,0,380,,,380.0,380.0,380.0
SH600008,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600008,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600009,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600009,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600010,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600010,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600011,query_profit_data,13,0,13,13,0,473,473.0,473.0,,,
SH600011,query_growth_data,13,0,13,13,0,473,,,473.0,473.0,473.0
SH600015,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600015,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600016,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600016,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600018,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600018,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600019,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600019,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600021,query_profit_data,13,0,13,13,0,258,258.0,258.0,,,
SH600021,query_growth_data,13,0,13,13,0,258,,,258.0,258.0,258.0
SH600022,query_profit_data,13,0,13,13,0,123,123.0,123.0,,,
SH600022,query_growth_data,13,0,13,13,0,123,,,123.0,123.0,123.0
SH600023,query_profit_data,13,1,12,12,0,488,488.0,488.0,,,
SH600023,query_growth_data,13,1,12,12,0,488,,,488.0,425.0,425.0
SH600027,query_profit_data,13,0,13,13,0,473,473.0,473.0,,,
SH600027,query_growth_data,13,0,13,13,0,473,,,473.0,473.0,473.0
SH600028,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600028,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600029,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600029,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600030,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
SH600030,query_growth_data,13,0,13,13,0,488,,,488.0,488.0,488.0
SH600031,query_profit_data,13,0,13,13,0,488,488.0,488.0,,,
