year,variant,train_start,train_end,valid_start,valid_end,test_start,test_end,train_rows,valid_rows,prediction_rows,features,best_iteration,seed
2015,BASE,2008-01-02,2013-12-27,2014-01-02,2014-12-29,2015-01-05,2015-12-31,206445,47849,46063,158,29,42
2015,ADD_BP,2008-01-02,2013-12-27,2014-01-02,2014-12-29,2015-01-05,2015-12-31,206445,47849,46063,159,26,42
2015,ADD_CASHFLOW,2008-01-02,2013-12-27,2014-01-02,2014-12-29,2015-01-05,2015-12-31,206445,47849,46063,159,25,42
2015,ADD_BOTH,2008-01-02,2013-12-27,2014-01-02,2014-12-29,2015-01-05,2015-12-31,206445,47849,46063,160,38,42
2016,BASE,2008-01-02,2014-12-29,2015-01-05,2015-12-29,2016-01-04,2016-12-30,254682,45076,46046,158,26,42
2016,ADD_BP,2008-01-02,2014-12-29,2015-01-05,2015-12-29,2016-01-04,2016-12-30,254682,45076,46046,159,21,42
2016,ADD_CASHFLOW,2008-01-02,2014-12-29,2015-01-05,2015-12-29,2016-01-04,2016-12-30,254682,45076,46046,159,24,42
2016,ADD_BOTH,2008-01-02,2014-12-29,2015-01-05,2015-12-29,2016-01-04,2016-12-30,254682,45076,46046,160,27,42
2017,BASE,2008-01-02,2015-12-29,2016-01-04,2016-12-28,2017-01-03,2017-12-29,300182,45476,42338,158,40,42
2017,ADD_BP,2008-01-02,2015-12-29,2016-01-04,2016-12-28,2017-01-03,2017-12-29,300182,45476,42338,159,42,42
2017,ADD_CASHFLOW,2008-01-02,2015-12-29,2016-01-04,2016-12-28,2017-01-03,2017-12-29,300182,45476,42338,159,53,42
2017,ADD_BOTH,2008-01-02,2015-12-29,2016-01-04,2016-12-28,2017-01-03,2017-12-29,300182,45476,42338,160,28,42
2018,BASE,2008-01-02,2016-12-28,2017-01-03,2017-12-27,2018-01-02,2018-12-28,346033,41826,43688,158,71,42
2018,ADD_BP,2008-01-02,2016-12-28,2017-01-03,2017-12-27,2018-01-02,2018-12-28,346033,41826,43688,159,46,42
2018,ADD_CASHFLOW,2008-01-02,2016-12-28,2017-01-03,2017-12-27,2018-01-02,2018-12-28,346033,41826,43688,159,61,42
2018,ADD_BOTH,2008-01-02,2016-12-28,2017-01-03,2017-12-27,2018-01-02,2018-12-28,346033,41826,43688,160,46,42
2019,BASE,2008-01-02,2017-12-27,2018-01-02,2018-12-26,2019-01-02,2019-12-31,388240,43241,44323,158,27,42
2019,ADD_BP,2008-01-02,2017-12-27,2018-01-02,2018-12-26,2019-01-02,2019-12-31,388240,43241,44323,159,14,42
2019,ADD_CASHFLOW,2008-01-02,2017-12-27,2018-01-02,2018-12-26,2019-01-02,2019-12-31,388240,43241,44323,159,24,42
2019,ADD_BOTH,2008-01-02,2017-12-27,2018-01-02,2018-12-26,2019-01-02,2019-12-31,388240,43241,44323,160,17,42
2020,BASE,2008-01-02,2018-12-26,2019-01-02,2019-12-27,2020-01-02,2020-07-31,431822,43929,23457,158,10,42
2020,ADD_BP,2008-01-02,2018-12-26,2019-01-02,2019-12-27,2020-01-02,2020-07-31,431822,43929,23457,159,12,42
2020,ADD_CASHFLOW,2008-01-02,2018-12-26,2019-01-02,2019-12-27,2020-01-02,2020-07-31,431822,43929,23457,159,10,42
2020,ADD_BOTH,2008-01-02,2018-12-26,2019-01-02,2019-12-27,2020-01-02,2020-07-31,431822,43929,23457,160,15,42
