year,field,available_cells,member_cells,coverage
2008,CFOToOR,72620,73800,0.9840108401084011
2008,ILLIQUIDITY_20,52680,73800,0.7138211382113822
2008,BP,73798,73800,0.9999728997289973
2008,log_size,70831,73800,0.959769647696477
2008,industry,0,73800,0.0
2009,CFOToOR,72712,73200,0.9933333333333333
2009,ILLIQUIDITY_20,55146,73200,0.7533606557377049
2009,BP,73145,73200,0.9992486338797815
2009,log_size,71458,73200,0.9762021857923497
2009,industry,0,73200,0.0
2010,CFOToOR,72096,72600,0.9930578512396694
2010,ILLIQUIDITY_20,53137,72600,0.7319146005509641
2010,BP,72600,72600,1.0
2010,log_size,70477,72600,0.9707575757575757
2010,industry,0,72600,0.0
2011,CFOToOR,73054,73200,0.9980054644808743
2011,ILLIQUIDITY_20,54377,73200,0.7428551912568306
2011,BP,73198,73200,0.9999726775956285
2011,log_size,71064,73200,0.9708196721311475
2011,industry,0,73200,0.0
2012,CFOToOR,72900,72900,1.0
2012,ILLIQUIDITY_20,59822,72900,0.8206035665294924
2012,BP,72900,72900,1.0
2012,log_size,71406,72900,0.9795061728395061
2012,industry,0,72900,0.0
2013,CFOToOR,71376,71400,0.9996638655462184
2013,ILLIQUIDITY_20,67001,71400,0.9383893557422969
2013,BP,71400,71400,1.0
2013,log_size,69593,71400,0.9746918767507002
2013,industry,65394,71400,0.9158823529411765
2014,CFOToOR,73500,73500,1.0
2014,ILLIQUIDITY_20,67571,73500,0.9193333333333333
2014,BP,73500,73500,1.0
2014,log_size,70824,73500,0.9635918367346938
2014,industry,73500,73500,1.0
2015,CFOToOR,73137,73200,0.9991393442622951
2015,ILLIQUIDITY_20,62981,73200,0.8603961748633879
2015,BP,73173,73200,0.9996311475409836
2015,log_size,68260,73200,0.9325136612021858
2015,industry,73195,73200,0.999931693989071
2016,CFOToOR,73143,73200,0.9992213114754098
2016,ILLIQUIDITY_20,67066,73200,0.9162021857923497
2016,BP,73200,73200,1.0
2016,log_size,69918,73200,0.9551639344262295
2016,industry,73180,73200,0.9997267759562841
2017,CFOToOR,73200,73200,1.0
2017,ILLIQUIDITY_20,67175,73200,0.917691256830601
2017,BP,73198,73200,0.9999726775956285
2017,log_size,69307,73200,0.9468169398907104
2017,industry,73200,73200,1.0
2018,CFOToOR,72900,72900,1.0
2018,ILLIQUIDITY_20,69172,72900,0.9488614540466392
2018,BP,72798,72900,0.9986008230452675
2018,log_size,70341,72900,0.9648971193415637
2018,industry,72900,72900,1.0
2019,CFOToOR,73200,73200,1.0
2019,ILLIQUIDITY_20,72117,73200,0.9852049180327869
2019,BP,73200,73200,1.0
2019,log_size,73003,73200,0.9973087431693989
2019,industry,73200,73200,1.0
2020,CFOToOR,41928,42000,0.9982857142857143
2020,ILLIQUIDITY_20,41677,42000,0.9923095238095239
2020,BP,42000,42000,1.0
2020,log_size,41918,42000,0.9980476190476191
2020,industry,42000,42000,1.0
