year,variant,train_end,valid_end,train_rows,valid_rows,prediction_rows,features,seed,best_iteration
2015,BASE,2013-12-27 00:00:00,2014-12-29 00:00:00,193543,47129,44654,158,42,28
2015,ADD_PAPER101_ALPHA034,2013-12-27 00:00:00,2014-12-29 00:00:00,193543,47129,44654,159,42,25
2016,BASE,2014-12-29 00:00:00,2015-12-29 00:00:00,241054,43713,45346,158,42,19
2016,ADD_PAPER101_ALPHA034,2014-12-29 00:00:00,2015-12-29 00:00:00,241054,43713,45346,159,42,19
2017,BASE,2015-12-29 00:00:00,2016-12-28 00:00:00,285173,44779,41795,158,42,33
2017,ADD_PAPER101_ALPHA034,2015-12-29 00:00:00,2016-12-28 00:00:00,285173,44779,41795,159,42,24
2018,BASE,2016-12-28 00:00:00,2017-12-27 00:00:00,330314,41295,43367,158,42,100
2018,ADD_PAPER101_ALPHA034,2016-12-28 00:00:00,2017-12-27 00:00:00,330314,41295,43367,159,42,72
2019,BASE,2017-12-27 00:00:00,2018-12-26 00:00:00,371987,42925,44167,158,42,27
2019,ADD_PAPER101_ALPHA034,2017-12-27 00:00:00,2018-12-26 00:00:00,371987,42925,44167,159,42,21
2020,BASE,2018-12-26 00:00:00,2019-12-27 00:00:00,415246,43775,23428,158,42,12
2020,ADD_PAPER101_ALPHA034,2018-12-26 00:00:00,2019-12-27 00:00:00,415246,43775,23428,159,42,15
