year,variant,train_end,valid_end,train_rows,valid_rows,prediction_rows,features,seed,best_iteration
2015,BASE,2013-12-27 00:00:00,2014-12-29 00:00:00,206826,47849,46087,158,42,22
2015,ADD_CANDIDATE002_VWAP_VOLUME_DIVERGENCE,2013-12-27 00:00:00,2014-12-29 00:00:00,206826,47849,46087,159,42,32
2016,BASE,2014-12-29 00:00:00,2015-12-29 00:00:00,255063,45100,46083,158,42,26
2016,ADD_CANDIDATE002_VWAP_VOLUME_DIVERGENCE,2014-12-29 00:00:00,2015-12-29 00:00:00,255063,45100,46083,159,42,37
2017,BASE,2015-12-29 00:00:00,2016-12-28 00:00:00,300587,45513,42338,158,42,36
2017,ADD_CANDIDATE002_VWAP_VOLUME_DIVERGENCE,2015-12-29 00:00:00,2016-12-28 00:00:00,300587,45513,42338,159,42,39
2018,BASE,2016-12-28 00:00:00,2017-12-27 00:00:00,346475,41826,43715,158,42,66
2018,ADD_CANDIDATE002_VWAP_VOLUME_DIVERGENCE,2016-12-28 00:00:00,2017-12-27 00:00:00,346475,41826,43715,159,42,58
2019,BASE,2017-12-27 00:00:00,2018-12-26 00:00:00,388682,43268,44323,158,42,21
2019,ADD_CANDIDATE002_VWAP_VOLUME_DIVERGENCE,2017-12-27 00:00:00,2018-12-26 00:00:00,388682,43268,44323,159,42,17
2020,BASE,2018-12-26 00:00:00,2019-12-27 00:00:00,432291,43929,23457,158,42,10
2020,ADD_CANDIDATE002_VWAP_VOLUME_DIVERGENCE,2018-12-26 00:00:00,2019-12-27 00:00:00,432291,43929,23457,159,42,9
