candidate,year,eligible,available,coverage
R1_CASH_SURPLUS,2008,65429,19918,0.30442158675816533
R1_CASH_SURPLUS,2009,65369,23929,0.3660603650048188
R1_CASH_SURPLUS,2010,63841,25773,0.4037060822982096
R1_CASH_SURPLUS,2011,63493,21069,0.33183185548013167
R1_CASH_SURPLUS,2012,63142,17047,0.26997877799246145
R1_CASH_SURPLUS,2013,60526,32456,0.5362323629514589
R1_CASH_SURPLUS,2014,61772,43585,0.7055785792915884
R1_CASH_SURPLUS,2015,58526,40487,0.6917780131907186
R1_CASH_SURPLUS,2016,58751,38843,0.661146193256285
R1_CASH_SURPLUS,2017,56436,26129,0.46298461974626126
R1_CASH_SURPLUS,2018,56537,23784,0.42068026248297574
R1_CASH_SURPLUS,2019,59097,25503,0.43154474846438906
R1_CASH_SURPLUS,2020,33235,13237,0.3982849405746954
R1_CASH_IMPROVEMENT,2008,65429,11723,0.1791713154717327
R1_CASH_IMPROVEMENT,2009,65369,21396,0.32731111077116065
R1_CASH_IMPROVEMENT,2010,63841,21889,0.3428674362870256
R1_CASH_IMPROVEMENT,2011,63493,19770,0.3113729072496181
R1_CASH_IMPROVEMENT,2012,63142,16460,0.26068227170504576
R1_CASH_IMPROVEMENT,2013,60526,29060,0.4801242441264911
R1_CASH_IMPROVEMENT,2014,61772,30777,0.4982354464806061
R1_CASH_IMPROVEMENT,2015,58526,37849,0.6467040289785736
R1_CASH_IMPROVEMENT,2016,58751,34987,0.5955132678592705
R1_CASH_IMPROVEMENT,2017,56436,22547,0.399514494294422
R1_CASH_IMPROVEMENT,2018,56537,22473,0.3974919079540832
R1_CASH_IMPROVEMENT,2019,59097,23734,0.40161091087534057
R1_CASH_IMPROVEMENT,2020,33235,12352,0.3716563863397021
R1_GROSS_MARGIN_CHANGE,2008,65429,12654,0.19340047990952025
R1_GROSS_MARGIN_CHANGE,2009,65369,25102,0.3840046505224189
R1_GROSS_MARGIN_CHANGE,2010,63841,26226,0.41080183581084256
R1_GROSS_MARGIN_CHANGE,2011,63493,21219,0.33419432063377064
R1_GROSS_MARGIN_CHANGE,2012,63142,18488,0.2928003547559469
R1_GROSS_MARGIN_CHANGE,2013,60526,34202,0.5650794699798434
R1_GROSS_MARGIN_CHANGE,2014,61772,35397,0.5730266139998705
R1_GROSS_MARGIN_CHANGE,2015,58526,45032,0.7694358063083074
R1_GROSS_MARGIN_CHANGE,2016,58751,44956,0.7651954860342802
R1_GROSS_MARGIN_CHANGE,2017,56436,28713,0.5087709972358069
R1_GROSS_MARGIN_CHANGE,2018,56537,24410,0.4317526575516918
R1_GROSS_MARGIN_CHANGE,2019,59097,25869,0.4377379562414336
R1_GROSS_MARGIN_CHANGE,2020,33235,14526,0.4370693545960584
R1_NET_MARGIN_CHANGE,2008,65429,12654,0.19340047990952025
R1_NET_MARGIN_CHANGE,2009,65369,25102,0.3840046505224189
R1_NET_MARGIN_CHANGE,2010,63841,26226,0.41080183581084256
R1_NET_MARGIN_CHANGE,2011,63493,21219,0.33419432063377064
R1_NET_MARGIN_CHANGE,2012,63142,18488,0.2928003547559469
R1_NET_MARGIN_CHANGE,2013,60526,34202,0.5650794699798434
R1_NET_MARGIN_CHANGE,2014,61772,35397,0.5730266139998705
R1_NET_MARGIN_CHANGE,2015,58526,45032,0.7694358063083074
R1_NET_MARGIN_CHANGE,2016,58751,44956,0.7651954860342802
R1_NET_MARGIN_CHANGE,2017,56436,28713,0.5087709972358069
R1_NET_MARGIN_CHANGE,2018,56537,24410,0.4317526575516918
R1_NET_MARGIN_CHANGE,2019,59097,25961,0.4392947188520568
R1_NET_MARGIN_CHANGE,2020,33235,14526,0.4370693545960584
R1_QUIET_REVERSAL,2008,65429,20284,0.3100154365801097
R1_QUIET_REVERSAL,2009,65369,26004,0.3978032400679221
R1_QUIET_REVERSAL,2010,63841,24092,0.377375041117777
R1_QUIET_REVERSAL,2011,63493,21358,0.33638353834280943
R1_QUIET_REVERSAL,2012,63142,22017,0.3486902537138513
R1_QUIET_REVERSAL,2013,60526,44532,0.735749925651786
R1_QUIET_REVERSAL,2014,61772,45865,0.7424885061192773
R1_QUIET_REVERSAL,2015,58526,40984,0.7002699654854253
R1_QUIET_REVERSAL,2016,58751,43157,0.7345747306428827
R1_QUIET_REVERSAL,2017,56436,40286,0.7138351406903395
R1_QUIET_REVERSAL,2018,56537,42350,0.7490669826839061
R1_QUIET_REVERSAL,2019,59097,43746,0.7402406213513376
R1_QUIET_REVERSAL,2020,33235,23325,0.7018203700917707
R1_ACTIVE_CONTINUATION,2008,65429,3467,0.0529887358816427
R1_ACTIVE_CONTINUATION,2009,65369,8871,0.13570652755893467
R1_ACTIVE_CONTINUATION,2010,63841,6657,0.10427468241412259
R1_ACTIVE_CONTINUATION,2011,63493,6242,0.09831004992676358
R1_ACTIVE_CONTINUATION,2012,63142,11530,0.18260428874600107
R1_ACTIVE_CONTINUATION,2013,60526,40885,0.6754948286686713
R1_ACTIVE_CONTINUATION,2014,61772,40493,0.6555235381726349
R1_ACTIVE_CONTINUATION,2015,58526,32440,0.5542835662782353
R1_ACTIVE_CONTINUATION,2016,58751,37182,0.6328743340538885
R1_ACTIVE_CONTINUATION,2017,56436,36338,0.6438797930399036
R1_ACTIVE_CONTINUATION,2018,56537,39841,0.7046889647487486
R1_ACTIVE_CONTINUATION,2019,59097,42512,0.7193596967697176
R1_ACTIVE_CONTINUATION,2020,33235,22964,0.6909583270648413
