year,variant,train_start,train_end,valid_start,valid_end,train_label_exit,valid_label_exit,train_rows,valid_rows,prediction_rows,features,best_iteration,seed
2015,BASE,2008-01-02 00:00:00,2013-12-02 00:00:00,2014-01-02 00:00:00,2014-12-02 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,144748,40065,41174,158,2,42
2015,ADD_1,2008-01-02 00:00:00,2013-12-02 00:00:00,2014-01-02 00:00:00,2014-12-02 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,144748,40065,41174,159,2,42
2016,BASE,2008-01-02 00:00:00,2014-12-02 00:00:00,2015-01-05 00:00:00,2015-12-02 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,188553,30943,43157,158,3,42
2016,ADD_1,2008-01-02 00:00:00,2014-12-02 00:00:00,2015-01-05 00:00:00,2015-12-02 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,188553,30943,43157,159,7,42
2017,BASE,2008-01-02 00:00:00,2015-12-02 00:00:00,2016-01-04 00:00:00,2016-12-01 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,222982,37497,40286,158,29,42
2017,ADD_1,2008-01-02 00:00:00,2015-12-02 00:00:00,2016-01-04 00:00:00,2016-12-01 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,222982,37497,40286,159,28,42
2018,BASE,2008-01-02 00:00:00,2016-12-01 00:00:00,2017-01-03 00:00:00,2017-11-30 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,263556,35679,42350,158,8,42
2018,ADD_1,2008-01-02 00:00:00,2016-12-01 00:00:00,2017-01-03 00:00:00,2017-11-30 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,263556,35679,42350,159,17,42
2019,BASE,2008-01-02 00:00:00,2017-11-30 00:00:00,2018-01-02 00:00:00,2018-11-29 00:00:00,2017-12-29 00:00:00,2018-12-28 00:00:00,302799,37574,43746,158,5,42
2019,ADD_1,2008-01-02 00:00:00,2017-11-30 00:00:00,2018-01-02 00:00:00,2018-11-29 00:00:00,2017-12-29 00:00:00,2018-12-28 00:00:00,302799,37574,43746,159,8,42
2020,BASE,2008-01-02 00:00:00,2018-11-29 00:00:00,2019-01-02 00:00:00,2019-12-02 00:00:00,2018-12-28 00:00:00,2019-12-31 00:00:00,343736,39413,23325,158,4,42
2020,ADD_1,2008-01-02 00:00:00,2018-11-29 00:00:00,2019-01-02 00:00:00,2019-12-02 00:00:00,2018-12-28 00:00:00,2019-12-31 00:00:00,343736,39413,23325,159,5,42
